Epoch,epoch,train_mae_sbp,train_mae_dbp,train_mae,val_mae_sbp,val_mae_dbp,val_mae,train_mse_sbp,train_mse_dbp,train_mse,val_mse_sbp,val_mse_dbp,val_mse,lr,features
0,0,75.45373279817643,32.821045721730876,108.27477738165086,14.744598388671875,6.773702383041382,21.518300533294678,7901.505311043032,1554.1487210181451,9455.654044858871,345.9537582397461,6.773702383041382,352.7274627685547,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
1,1,11.315386833683137,5.787605393317438,17.10299221161873,9.758175134658813,5.268048286437988,15.026223421096802,228.1449939358619,63.17477453908613,291.3197710590978,178.49068069458008,5.268048286437988,183.75873184204102,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
2,2,9.510329831031061,5.383149193179223,14.893479039592128,8.582048892974854,5.003710031509399,13.585758924484253,176.64265934113533,58.39353942871094,235.03619778540826,144.95907974243164,5.003710031509399,149.9627914428711,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
3,3,8.598415282464796,4.869449184786889,13.467864467251685,8.310373783111572,4.646714091300964,12.957087755203247,151.10580444335938,49.59382124870054,200.69962532289566,136.72314453125,4.646714091300964,141.36985778808594,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
4,4,8.365817316116825,4.678534138587214,13.044351485467725,8.280644655227661,4.743982434272766,13.024626970291138,142.73915223152406,47.00237877138199,189.7415313720703,141.24005889892578,4.743982434272766,145.9840431213379,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
5,5,8.07761033888786,4.555823541456653,12.633433803435295,7.98491632938385,4.406262755393982,12.391178846359253,134.0788808022776,44.108145683042466,178.18702697753906,130.70005989074707,4.406262755393982,135.1063232421875,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
6,6,7.916905264700612,4.395285529475058,12.31219079417567,7.925727605819702,4.384398102760315,12.310125827789307,129.17818943146736,41.65901454802482,170.8372044717112,129.19100189208984,4.384398102760315,133.5753993988037,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
7,7,7.753581739241077,4.37023796573762,12.123819781887915,7.859347939491272,4.377078890800476,12.236426830291748,125.15984615202873,41.29233120333764,166.45217797064012,125.49069404602051,4.377078890800476,129.86777305603027,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
8,8,7.717903552516814,4.3856301461496665,12.103533714048323,7.863011717796326,4.385870695114136,12.248882293701172,124.87405592395413,41.19271567560011,166.0667714764995,125.79070281982422,4.385870695114136,130.17657470703125,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
9,9,7.697480186339347,4.253111539348479,11.950591733378749,7.783882737159729,4.356631875038147,12.140514850616455,123.25922024634576,39.04518484300183,162.30440644294984,123.93120193481445,4.356631875038147,128.28783226013184,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50', 'SW_DW_DIV_75', 'SW_DW_DIV_33', 'SW_DW_DIV_10']"
