epoch,train_mae_sbp,train_mae_dbp,train_mae,val_mae_sbp,val_mae_dbp,val_mae,train_mse_sbp,train_mse_dbp,train_mse,val_mse_sbp,val_mse_dbp,val_mse,lr,features
0,73.84732147955125,32.37402276069887,106.22134387108588,13.724154949188232,7.960163354873657,21.68431854248047,7609.384052891885,1493.6138832338395,9102.998031123992,320.55934143066406,7.960163354873657,328.5195083618164,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
1,11.766128663093813,8.774442549674742,20.540571151241178,11.118401765823364,5.482338070869446,16.60073947906494,245.867917952999,133.70213748562722,379.570058022776,211.9060173034668,5.482338070869446,217.38835525512695,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
2,9.92304531220467,5.62160458103303,15.544649954765074,9.061061143875122,5.133103609085083,14.194164752960205,186.36936556908393,59.35442426127772,245.72379032258064,156.85335159301758,5.133103609085083,161.98645401000977,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
3,9.128393450090963,5.206565995370188,14.334959399315618,8.78495168685913,4.9251720905303955,13.710123777389526,161.66115397791708,52.196009112942605,213.85716296780495,145.42462539672852,4.9251720905303955,150.34979629516602,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
4,8.64196506623299,5.015990703336654,13.657955846478862,8.30025339126587,5.004633545875549,13.304886817932129,148.42649841308594,49.9842894769484,198.4107862903226,133.61843490600586,5.004633545875549,138.62306594848633,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
5,8.351793504530384,4.901874157690233,13.253667646838773,8.415200233459473,5.030896782875061,13.446097135543823,138.17769573580833,49.50308449037613,187.68078022618448,134.44874954223633,5.030896782875061,139.4796485900879,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
6,8.309328602206323,4.754048424382364,13.063377011206843,8.098210334777832,4.735284805297852,12.833495140075684,137.0719705397083,47.6927356104697,184.76470651934224,129.25294494628906,4.735284805297852,133.98823165893555,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
7,8.04930506983111,4.685870662812264,12.735175624970466,8.19076681137085,4.707237362861633,12.898003816604614,129.92180510490172,47.876053840883316,177.79785894578504,131.2375831604004,4.707237362861633,135.94482040405273,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
8,7.934001784170827,4.550804061274374,12.484805845445202,7.8727803230285645,4.525647163391113,12.398427248001099,126.56850113407258,46.57541693410566,173.1439179451235,123.41727828979492,4.525647163391113,127.94292640686035,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
9,7.907075374357162,4.509796957815847,12.416872209118258,7.9477092027664185,4.43781840801239,12.385527849197388,125.77984397642074,45.764959027690274,171.5448027580015,124.49726486206055,4.43781840801239,128.9350814819336,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
