Epoch,epoch,train_mae_sbp,train_mae_dbp,train_mae,val_mae_sbp,val_mae_dbp,val_mae,train_mse_sbp,train_mse_dbp,train_mse,val_mse_sbp,val_mse_dbp,val_mse,lr,features
0,0,76.3925109986336,33.01490371457992,109.40741520543253,15.832172632217407,10.083142042160034,25.91531467437744,7953.969740344632,1523.4090768137287,9477.378937752017,370.11231231689453,10.083142042160034,380.19544982910156,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
1,1,14.044767964270807,9.76262027986588,23.807388121081935,13.219922304153442,6.774215340614319,19.99413776397705,332.3699035644531,158.96529806813885,491.33520212481096,298.1397171020508,6.774215340614319,304.91392517089844,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
2,2,12.730441831773327,6.734548414907148,19.464990246680475,12.305394649505615,6.694052696228027,18.999446868896484,285.3455062373992,85.08935522264049,370.4348597372732,281.75540924072266,6.694052696228027,288.44945526123047,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
3,3,12.524072893204227,6.6394801293649985,19.16355299180554,12.399686574935913,6.675888180732727,19.07557487487793,283.35008682743194,82.86787463772681,366.2179614651588,271.1352233886719,6.675888180732727,277.8111114501953,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
4,4,12.395158213953819,6.596574137287755,18.99173238200526,12.282985210418701,6.507687211036682,18.790672302246094,281.6651050198463,82.62830820391255,364.2934137159778,278.6308898925781,6.507687211036682,285.1385726928711,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
5,5,12.365493743650374,6.4953994904795005,18.860893187984342,11.984920024871826,6.401519775390625,18.38643980026245,280.24124490061115,81.75877306538243,362.0000187043221,271.7099075317383,6.401519775390625,278.1114273071289,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
6,6,12.163800116508238,6.38489766274729,18.548697810019217,12.364341259002686,6.51355767250061,18.877898693084717,275.63013187531504,79.73868979177168,355.3688246204007,276.3696823120117,6.51355767250061,282.8832473754883,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
7,7,12.054458679691438,6.308811249271516,18.363269805908203,12.14569354057312,6.44425642490387,18.58995008468628,272.40979693012855,78.29750676308909,350.7073019704511,281.15677642822266,6.44425642490387,287.60103607177734,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
8,8,11.986187658002299,6.29564102234379,18.28182860343687,12.02784013748169,6.350431203842163,18.37827157974243,270.97470338882937,77.73047810216104,348.70518247542844,273.31835174560547,6.350431203842163,279.66878509521484,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
9,9,11.898144845039614,6.218466435709307,18.116611173076013,11.927714109420776,6.264513611793518,18.192227840423584,268.9490164479902,76.76691264490927,345.71593056955646,265.2968063354492,6.264513611793518,271.56131744384766,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
10,10,12.024036438234392,6.252837073418402,18.276873496270948,11.712971210479736,6.186047673225403,17.899019241333008,275.1795442642704,77.6197029852098,352.7992474955897,265.0277557373047,6.186047673225403,271.2137985229492,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
11,11,11.923854920171923,6.206941389268445,18.13079600180349,11.746893167495728,6.392037868499756,18.138930797576904,269.55184985745336,75.9755145657447,345.5273624543221,268.0833282470703,6.392037868499756,274.4753646850586,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
12,12,11.925568026881065,6.173518703829858,18.099086699947232,11.84673547744751,6.272511839866638,18.11924695968628,271.34344630087577,75.95619890766758,347.2996452085433,267.7373161315918,6.272511839866638,274.00982666015625,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD']"
