Epoch,epoch,train_mae_sbp,train_mae_dbp,train_mae,val_mae_sbp,val_mae_dbp,val_mae,train_mse_sbp,train_mse_dbp,train_mse,val_mse_sbp,val_mse_dbp,val_mse,lr
0,0,105.33454708872792,41.32027975390457,146.65482692128603,91.75097355698094,27.886964046593867,119.63793690999348,11681.184217944588,1971.4068465085375,13652.591085427406,8909.49277935606,27.886964046593867,8937.379764441288,0.0001
1,1,80.95495754910499,18.317431544929846,99.2723891005893,70.19888028231534,12.586464564005533,82.78534467292555,7086.0744469501715,512.8853051359301,7598.959739449098,5419.12665719697,12.586464564005533,5431.713171756629,0.0001
2,2,59.7321660281047,11.694855123041421,71.4270210659381,49.23193498091264,11.561081279407848,60.79301660711115,4099.898915713596,218.63275193676506,4318.531671163552,2915.0356889204545,11.561081279407848,2926.59677586411,0.0001
3,3,39.429771075953326,11.415191152251463,50.84496222165032,30.314842108524207,11.523704153118711,41.83854605934837,2058.0003536263694,190.68907689884355,2248.689428375349,1353.3306181936553,11.523704153118711,1364.8543146306818,0.0001
4,4,24.928155138730183,11.078670006847053,36.00682512919108,20.53199779626095,10.281593322753906,30.813591061216414,981.45282590676,178.48149517885187,1159.9343192503625,694.8523208155776,10.281593322753906,705.1339129823627,0.0001
5,5,18.17492966799392,9.5258329299717,27.700762575025003,16.84872427853671,8.919179280598959,25.76790341463956,541.1197992174076,140.24394142177096,681.3637385941863,453.0861844149503,8.919179280598959,462.00536092122394,0.0001
6,6,15.077772622255935,8.541277950981637,23.619050579792034,14.245537786772758,8.11762100277525,22.363158717299953,365.95350332358447,113.99586547117462,479.94936829662,328.03232828776044,8.11762100277525,336.14994858250475,0.0001
7,7,13.180036148254814,7.7504496312223345,20.93048581388808,12.550612565242883,7.342217575420033,19.892829952817976,288.8884637052661,100.71274443426493,389.60120971260204,268.859106352835,7.342217575420033,276.20132538766575,0.0001
8,8,12.013385340110544,6.893244646668844,18.90662995236846,14.196244326504795,8.980135816516299,23.17638021526915,251.49581709924024,88.79201709445809,340.2878346131839,328.1064776796283,8.980135816516299,337.08661212343156,0.0001
9,9,11.412896975618867,6.356503211345869,17.769400190241967,11.279103885997426,6.387572678652677,17.666676463502824,230.6141730764068,79.17704922390968,309.7912225887128,224.44822600393584,6.387572678652677,230.83580017089844,0.0001
10,10,11.126208144774552,6.174277931554211,17.30048604683368,11.16381870616566,6.33035776831887,17.49417663343025,221.04333608830507,75.8325975817913,296.8759335127893,221.51228979862097,6.33035776831887,227.84264766808712,0.0001
11,11,10.989095160231967,6.123195912010481,17.11229108698999,11.489971738873106,7.039064941984234,18.529036782004617,215.79469548385987,74.06952350000336,289.8642194295667,234.59117727568656,7.039064941984234,241.63024301239938,0.0001
12,12,10.920159389063254,6.093830508464801,17.013989868032972,10.780135010228012,6.160433624729966,16.940568779454086,216.02733966001531,73.6790741464936,289.7064128233395,211.0342763264974,6.160433624729966,217.1947100090258,0.0001
13,13,10.648092135530977,6.044570291984532,16.692662445540282,10.713998274369674,5.96668765039155,16.680686054807722,207.45254139064514,73.40433989849288,280.8568801093347,208.92925424286813,5.96668765039155,214.89594199440697,0.0001
14,14,10.58239701523404,6.008109410603841,16.5905064487785,10.866034132061582,5.97486941019694,16.840903600056965,205.82082998793558,72.86462275187175,278.68545207125214,208.84354469992897,5.97486941019694,214.81841439911813,0.0001
15,15,10.496498270133108,5.97245039071414,16.468948659208632,10.5713904987682,6.052086859038382,16.62347715551203,202.8293728910361,73.08695257652256,275.9163254413408,200.87337563254616,6.052086859038382,206.92546312736744,0.0001
16,16,10.451265318696851,5.886033616934445,16.337298914329292,11.763530586705063,7.448129812876384,19.211660385131836,199.9846446768115,70.52480367286918,270.5094484938789,249.57672119140625,7.448129812876384,257.0248514811198,0.0001
17,17,10.323110459186777,5.906662847577911,16.229773314957765,10.392154693603516,5.75452810345274,16.14668271035859,195.8933142698098,71.21757600397588,267.1108900771518,198.20531394264916,5.75452810345274,203.95984256628788,0.0001
18,18,10.37578203260284,5.875705025859715,16.25148705682394,10.237097769072562,5.923020348404393,16.16011821862423,196.09018078046975,69.51401274638488,265.6041930942601,195.0808780554569,5.923020348404393,201.00389931418678,0.0001
19,19,10.256093772416262,5.84810923874583,16.10420307998395,10.570553895198938,5.9528426979527325,16.523396694298945,194.07284372860624,69.44488715470042,263.51773102750485,209.52014206395006,5.9528426979527325,215.47298362038353,0.0001
20,20,10.28471567540644,5.827424173912232,16.112139787051277,10.442813295306582,6.100174932768851,16.54298834367232,195.28909495769906,69.74459365634983,265.03368820767224,201.1172480727687,6.100174932768851,207.21742294773912,0.0001
21,21,10.081631268832282,5.78596252919882,15.867593752149864,10.093897299333053,5.949251319422866,16.043148589856695,189.39072633199265,68.91767647340126,258.30840330353305,191.64936366225734,5.949251319422866,197.59861477938566,0.0001
22,22,10.078611983466395,5.8190117537770485,15.897623766738525,10.182550892685398,5.813745455308394,15.996296449141068,188.98007259827708,69.28353156912368,258.2636047573024,192.3530916156191,5.813745455308394,198.16683728767163,0.0001
23,23,9.974148440606815,5.812352019896622,15.786500465419284,9.922931613344135,5.750115293445009,15.67304700793642,185.23702440556792,68.82927910978442,254.06630462961098,182.73215022231594,5.750115293445009,188.48226605039653,0.0001
24,24,9.934351488487009,5.745002222225019,15.679353730375414,10.587905016812412,6.1123574863780625,16.700262300895922,184.52873410883637,67.77262078773525,252.30135489657164,209.90402684067234,6.1123574863780625,216.01638424035275,0.0001
25,25,9.894343310615042,5.775173185617244,15.66951647165305,9.763103514006644,6.118404966412169,15.881508538217256,184.47474096239227,68.77161324884473,253.24635467004939,180.52411697850084,6.118404966412169,186.64252310088187,0.0001
26,26,9.855662950535411,5.784304900677343,15.639967885623683,10.43218014457009,5.929649049585516,16.361829179705996,183.34610247530068,68.62869536671852,251.97479782891028,202.57848381273675,5.929649049585516,208.5081338593454,0.0001
27,27,9.717661780590044,5.765485445658366,15.483147270491033,9.616357918941613,6.046879248185591,15.663237282724092,178.02142585675742,68.24513620855063,246.26656244546686,178.10060582016453,6.046879248185591,184.14748498165247,0.0001
28,28,9.821358298927647,5.847449890936363,15.66880818330955,10.077522104436701,6.064268430074056,16.141790679006867,182.94966665576004,70.8321921096225,253.7818593028485,188.02118035518762,6.064268430074056,194.08544806278113,0.0001
29,29,9.677240397921953,5.779236504302402,15.456476883380274,9.756266218243223,5.929755890008175,15.686022007104123,177.43427048516028,69.11618329733098,246.55045373661002,181.25921815814394,5.929755890008175,187.18897501627603,0.0001
30,30,9.650928095853615,5.739112549221392,15.390040679485937,10.09148713314172,5.77716182939934,15.868648933641838,176.70662104550917,67.80594490811588,244.5125655865751,191.17308321866122,5.77716182939934,196.95024432558003,0.0001
31,31,9.538076389286527,5.717304985138149,15.255381394088063,9.531794143445564,5.739425753102158,15.271219802625252,173.96371690678023,67.35877974991946,241.322496604264,171.65037536621094,5.739425753102158,177.38980171897194,0.0001
32,32,9.515773696178423,5.697510281788934,15.213283981244588,9.287355596368963,5.749142473394221,15.036498098662406,174.2390922467733,67.00324371180584,241.24233584059883,166.63203198982006,5.749142473394221,172.38117541688862,0.0001
33,33,9.458404083841854,5.659375200566557,15.117779282769796,10.235444820288455,5.959549188613892,16.194994030576765,172.27015140703864,66.1474240096574,238.41757506275505,196.71231032862806,5.959549188613892,202.67185881643584,0.0001
34,34,9.518915905575572,5.6746555308705755,15.1935714315303,9.422011534372965,5.652712374022513,15.074723879496256,175.32827035176385,66.44930119203129,241.777571740429,173.68841044108072,5.652712374022513,179.34112271395597,0.0001
35,35,9.452050392570365,5.608422178583047,15.06047258672026,10.291053887569543,6.000260533708515,16.29131438515403,173.93199155093058,65.35099936023201,239.28299117989556,197.62648357044566,6.000260533708515,203.62674528179747,0.0001
36,36,9.465697706360178,5.578283744169674,15.043981440698158,9.808071801156709,6.356013933817546,16.164085619377367,175.02693884151498,64.52448081314769,239.55141991684118,181.72057689319956,6.356013933817546,188.07659033573034,0.0001
37,37,9.324894832991243,5.602076342015741,14.926971206140681,10.346694975188285,5.840429306030273,16.187124339017,170.56083734256705,65.32090802536797,235.88174469937982,209.59115508108428,5.840429306030273,215.43158421371922,0.0001
38,38,9.324960284216708,5.593115793470664,14.918076053108138,10.872268705657035,6.0911549654873935,16.96342372894287,170.71340213526565,64.82604595066346,235.53944842676117,224.15670915083453,6.0911549654873935,230.24786376953125,5e-05
39,39,9.065403581075243,5.493588955541656,14.558992536616898,8.904998403606992,5.517493197412202,14.422491651592832,163.40419124327985,62.910355879269105,226.31454690625168,157.0745401093454,5.517493197412202,162.59203431100556,5e-05
40,40,8.978049624007182,5.470836249413769,14.448885871782336,9.009003725918857,5.463521639506022,14.4725253943241,160.73371711547432,62.32461505247555,223.0583326726435,161.05156037301728,5.463521639506022,166.5150812322443,5e-05
41,41,8.99075962669661,5.440272291091709,14.43103192516209,8.893130071235426,5.432478001623442,14.325608051184451,161.9895268076474,61.91663747309,223.90616413653922,157.89266644102153,5.432478001623442,163.32514444986978,5e-05
42,42,8.94804610419519,5.425087356895106,14.373133466006145,9.012529676610773,5.438102274230032,14.450631950840805,160.12537452199615,61.071986732614,221.19736147746187,162.31348650383228,5.438102274230032,167.75158922600025,5e-05
43,43,8.95204343336964,5.434244804775592,14.38628822339769,8.900484027284564,5.4587375322977705,14.359221574031945,160.15812583477637,61.22155797112848,221.37968397632088,158.93282040682706,5.4587375322977705,164.39155717329547,5e-05
44,44,8.880119472844495,5.389176124559645,14.269295594126907,8.950313712611344,5.328358679106741,14.27867247841575,158.77320916873893,60.90581807401991,219.67902712477851,161.6515366525361,5.328358679106741,166.9798951582475,5e-05
45,45,8.878145466965089,5.384155579039321,14.262301045185103,8.949305360967463,5.329577250914141,14.27888266245524,157.86663750192963,60.82864854425909,218.69528599375303,159.31739298502603,5.329577250914141,164.6469691883434,5e-05
46,46,8.804481732476617,5.345099150929664,14.149580912901364,9.159344427513354,5.464916222023241,14.624260700110232,156.29553411424774,59.68047618538244,215.97600993258027,167.67961767948034,5.464916222023241,173.1445330995502,5e-05
47,47,8.75582463470931,5.359871363721762,14.115695999250379,8.858287941325795,5.352298837719542,14.210586721246893,155.19707386764054,59.84841054411688,215.04548461494576,157.49104910185844,5.352298837719542,162.84334841641513,5e-05
48,48,8.792639294850458,5.333799497778063,14.126438815978794,9.075127977313418,5.420522256331011,14.495650262543649,156.14492194840997,59.46610960517962,215.61103233520927,164.11860448663884,5.420522256331011,169.5391265406753,5e-05
49,49,8.789610895504246,5.342467591524944,14.13207847228165,8.825166485526346,5.400428974267208,14.225595532041607,156.74787976242013,59.288659505418075,216.03653887457045,156.94306437174478,5.400428974267208,162.343493606105,5e-05
