Epoch,epoch,train_mae_sbp,train_mae_dbp,train_mae,val_mae_sbp,val_mae_dbp,val_mae,train_mse_sbp,train_mse_dbp,train_mse,val_mse_sbp,val_mse_dbp,val_mse,lr
0,0,105.3631381005356,41.99383707472549,147.35697535878603,91.79695938572739,28.681493759155273,120.47845320268111,11685.990553184063,2020.8994008487032,13706.889973958334,8917.812352035984,28.681493759155273,8946.493903882576,0.0001
1,1,81.00022217006618,18.873176440340547,99.87339863990181,70.22184499104817,12.705103556315104,82.92694808497573,7091.21232012457,535.9179946532364,7627.130339212844,5422.28740530303,12.705103556315104,5434.992498224432,0.0001
2,2,59.748477372107224,11.724417997799378,71.47289539612446,49.24807681459369,11.560460177334873,60.80853710752545,4100.200510765679,219.82375259661592,4320.024259691795,2916.5695356889205,11.560460177334873,2928.1299937855115,0.0001
3,3,39.41316664915314,11.403999961118927,50.81716651523236,30.32148586619984,11.522953582532478,41.84443930423621,2058.196773148894,190.10045081069788,2248.2972219145995,1353.7846642696495,11.522953582532478,1365.3076171875,0.0001
4,4,25.033909217598513,11.295455703210994,36.329364894591656,21.228377082131125,11.192767027652625,32.421144023086086,984.4183701977288,183.4612580394417,1167.8796281847347,723.6341719193892,11.192767027652625,734.8269412878788,0.0001
5,5,19.02078310320877,10.082473905635453,29.103256953131293,16.56273870757132,8.84734311248317,25.410081921201765,582.829473646236,156.3223006782663,739.1517742982845,446.5886766838305,8.84734311248317,455.4360203598485,0.0001
6,6,14.82482367446742,8.208053128416186,23.03287680452222,13.323423732410777,7.9127131086407285,21.236136812152285,360.7590870021545,108.33096444565815,469.09005118563414,292.14054130785394,7.9127131086407285,300.0532517866655,0.0001
7,7,12.23103243051116,7.1331514460114676,19.364183924042482,11.595113002892697,6.547531315774629,18.142644188620828,257.509412313245,88.11724823365097,345.62665958994444,237.81556193033853,6.547531315774629,244.3630925958807,0.0001
8,8,10.971084204736034,6.321551980021893,17.292636166733153,11.01428020361698,6.038930589502508,17.05321098096443,216.98387790955218,77.79257278835651,294.7764511894934,216.73320515950522,6.038930589502508,222.77213495427912,0.0001
9,9,10.486461039670964,5.989600963199262,16.476062063499004,10.331439162745621,5.845382083546031,16.176821246291652,199.98798774116227,72.51160470234979,272.49959225998714,193.53364031242603,5.845382083546031,199.37902254046816,0.0001
10,10,10.21287310164409,5.855812547952449,16.068685688923313,10.207113526084207,5.780061273863821,15.987174901095303,191.10217251073044,69.71991877867184,260.82209143360046,189.8108164469401,5.780061273863821,195.59087764855587,0.0001
11,11,10.003164152099504,5.8058086146194094,15.80897276835753,9.938415585142193,5.76362875736121,15.702044371402625,184.80597290878035,69.26191111037002,254.0678838356254,183.84399645256275,5.76362875736121,189.60762532552084,0.0001
12,12,9.775533735137625,5.765566357222619,15.541100102191939,9.811814712755607,5.721175728422223,15.532990340030555,178.77395924833633,68.14859611799626,246.92255503860946,180.44856955788353,5.721175728422223,186.169746167732,0.0001
13,13,9.65882942029291,5.778851115826479,15.437680559060007,9.789975253018467,6.057030937888405,15.847006277604537,175.02892806849528,68.62378018828193,243.65270844030218,181.27837279348662,6.057030937888405,187.3354043671579,0.0001
14,14,9.628259612932238,5.7102758712375286,15.338535466144995,9.858981854987867,5.651289636438543,15.510271476976799,174.00151374004142,66.47631567204532,240.47782929410639,182.37199448094225,5.651289636438543,188.0232837561405,0.0001
15,15,9.536430303173786,5.675412597525161,15.211842894144484,9.657194628860012,6.0133625955292676,15.67055722438928,171.98398285960823,66.1801621610766,238.16414508622947,174.45585586085463,6.0133625955292676,180.469218860973,0.0001
16,16,9.484844037347642,5.6133759882032255,15.098220038659793,9.513752301534018,5.684673323775783,15.19842561086019,170.08052686973127,64.6112941991013,234.69182075421836,171.0814541903409,5.684673323775783,176.7661271528764,0.0001
17,17,9.337690445156031,5.579320719151972,14.917011175778313,9.557963573571408,5.458668506506718,15.016632080078125,165.30134952191224,63.76097400573521,229.06232293774582,173.7538262569543,5.458668506506718,179.21249435887194,0.0001
18,18,9.314263153731618,5.586631905991597,14.900895053168753,9.563590801123416,5.409937417868412,14.973528226216635,164.79648650388947,64.41224765449864,229.20873430914077,171.09842566287878,5.409937417868412,176.50836274118134,0.0001
19,19,9.285156161514754,5.527897069544317,14.813053219588761,9.566385211366596,5.596740115772594,15.163125384937633,163.56712611352455,62.806806977262205,226.37393330052956,170.49901488333037,5.596740115772594,176.09575606837416,0.0001
20,20,9.12948634288565,5.545061229430523,14.674547585425099,9.309678829077518,5.619298501448198,14.928977359424938,159.03167412616952,63.07642080038274,222.10809551645391,164.8783856016217,5.619298501448198,170.49768390077534,0.0001
21,21,9.005823818678708,5.530900750373237,14.536724575606408,9.174713597153172,5.419158068570224,14.593871607924953,155.84714321909902,63.46389352988541,219.31103646714254,164.58877031730884,5.419158068570224,170.00792832808062,0.0001
22,22,9.093772396598894,5.462506862850124,14.556279261087633,9.543987418666031,5.604028383890788,15.148015658060709,159.54602315581542,61.254150534823175,220.80017367752967,170.20452903978753,5.604028383890788,175.80855722138375,0.0001
23,23,9.080860862207576,5.443439236211613,14.524300090226111,8.984218337319113,5.2871247638355605,14.271343115604285,158.81525455225784,60.94727623012058,219.76253082170518,158.13211637554747,5.2871247638355605,163.4192421653054,0.0001
24,24,8.846848940111927,5.336670598623269,14.183519537096581,9.621449181527803,5.550134839433612,15.171584129333496,153.49230763019156,58.98773795714493,212.48004585606947,176.93589320327297,5.550134839433612,182.4860271107067,0.0001
25,25,8.690830156975185,5.321272864784162,14.012102988987035,9.116964918194395,5.6413196072433935,14.758284568786621,148.92184028756577,58.68588724824571,207.60772757513826,159.4316193551728,5.6413196072433935,165.07294071081913,0.0001
26,26,8.449908082837501,5.259561537057674,13.70946961825656,9.337599378643613,5.462037527199947,14.799636840820312,142.8346826612335,57.70164766344418,200.5363303902223,170.499943819913,5.462037527199947,175.96198133988813,0.0001
27,27,8.483822329347486,5.222595576977811,13.70641793582038,8.550228812477805,5.130354895736232,13.680583664865205,144.67948512441103,56.91583084158881,201.59531646413902,151.1073102084073,5.130354895736232,156.23766488739938,0.0001
28,28,8.31241042507473,5.1782813907898575,13.490691833889361,8.443105206345066,5.14103026823564,13.584135460131096,140.03034498601434,56.056278399175795,196.08662383089361,145.17081890684184,5.14103026823564,150.31184895833334,0.0001
29,29,8.347326093522954,5.1596714999667554,13.506997537776776,8.734048034205582,5.145602038412383,13.87965014486602,141.0441386953662,55.44104725552588,196.4851857870305,154.2438701282848,5.145602038412383,159.389472730232,0.0001
30,30,8.205779826108532,5.088339872786269,13.29411970381065,8.362921743681937,5.193238858020667,13.55616063782663,136.6901507426783,54.09563131430714,190.78578254201568,145.16297981955788,5.193238858020667,150.35621781782672,0.0001
31,31,8.17075833749935,5.057961755601811,13.228720124234858,9.589091445460465,5.3333385279684355,14.922429807258375,136.36532220479958,53.34481621444021,189.71013861587366,177.0288111368815,5.3333385279684355,182.36215117483428,0.0001
32,32,8.053129404271182,4.990498038911328,13.043627440724586,8.26279455242735,5.067693833148841,13.330488320552941,133.40017789336005,52.18253859949276,185.5827162437832,142.6076685587565,5.067693833148841,147.67536117091322,0.0001
33,33,8.000913007152858,4.95512895321928,12.956041948901829,9.384658177693685,5.155015251853249,14.539673487345377,132.29784516534446,51.340547771388316,183.63839252380163,169.91741665926847,5.155015251853249,175.0724316221295,0.0001
34,34,8.020287943050214,4.928383170124591,12.948671101704496,8.41862035520149,4.960968234322288,13.379588618423,132.87914559275833,50.548208826595975,183.42735463565157,144.96821663596413,4.960968234322288,149.92918465354225,0.0001
35,35,7.91066284441866,4.878305056660445,12.788967915826646,8.360510710513953,4.978390881509492,13.338901606473057,130.23153891022673,49.864521262571984,180.0960605791754,143.84540164831913,4.978390881509492,148.82379265987512,0.0001
36,36,7.865757439144698,4.853144798082175,12.718902243781336,8.147274378574256,4.886098471554843,13.03337287902832,129.1878562743721,49.302176072425446,178.4900323402431,142.19511020544803,4.886098471554843,147.0812091249408,0.0001
37,37,7.774651946890395,4.787163487824378,12.561815419147925,7.978068915280429,4.781109072945335,12.75917793042732,126.4553368165321,48.07714116204645,174.53247814899458,136.42814220081675,4.781109072945335,141.20925163500237,0.0001
38,38,7.8358115412525295,4.774555005568409,12.610366582051176,8.01674747467041,4.788360639051958,12.805108099272758,128.07767056599516,48.215935290883905,176.29360615838434,139.39565230860853,4.788360639051958,144.1840126731179,0.0001
39,39,7.760935465494792,4.718375853246839,12.47931133021194,7.907732689019405,4.648738528742935,12.556471188863119,126.9337426411737,47.246413194846454,174.18015593433708,134.63996840968275,4.648738528742935,139.2887069239761,0.0001
40,40,7.67947651676296,4.647036329577469,12.326512844701814,8.195774482958244,4.679219614375722,12.874994191256436,124.54625458078286,46.14499587619427,170.69124996539244,142.2583632035689,4.679219614375722,146.93758322975853,0.0001
41,41,7.69452491576729,4.623533908444172,12.318058826669384,7.872922984036532,4.624515547896877,12.497438459685355,124.94679311378715,45.93323117678927,170.88002470350756,134.84146187522194,4.624515547896877,139.46597798665366,0.0001
42,42,7.7054685137116214,4.54849722541075,12.253965744857526,7.937652241099965,4.500759435422493,12.438411625948818,125.90955538929943,44.94751767686142,170.85707294162606,136.10276863791725,4.500759435422493,140.60352810946378,0.0001
43,43,7.640497576330126,4.494568601097028,12.135066189716772,7.850620515418775,4.482070583285707,12.332691077030066,124.01816986188855,44.43407912762304,168.45224945487846,133.7651385683002,4.482070583285707,138.24720833518288,0.0001
44,44,7.6190977833934665,4.448999837501762,12.068097615979381,7.8217705090840655,4.446913206216061,12.26868369362571,123.63897314432151,43.461310232627845,167.1002833835038,133.2131999622692,4.446913206216061,137.66011347915187,0.0001
45,45,7.638873446028667,4.428066078330233,12.066939521081668,7.899996280670166,4.477360111294371,12.377356326941287,124.17077457126473,43.728258996485025,167.89903369392317,136.31990976044625,4.477360111294371,140.79727034135297,0.0001
46,46,7.607590485274587,4.369785339152281,11.977375820330328,7.971808216788552,4.543776627742883,12.515584858981045,123.7388305926241,42.935800227922265,166.67463086315038,136.2868865042022,4.543776627742883,140.83066327644116,0.0001
47,47,7.599707718157687,4.393822875629176,11.993530601160632,7.854495467561664,4.4551038164081,12.309599298419375,123.15431001014316,43.37782933212228,166.53213896866106,134.6538166855321,4.4551038164081,139.10892047304097,0.0001
48,48,7.496818060727463,4.335539346708055,11.83235740333898,7.908343344023733,4.457303697412664,12.36564708478523,120.54524718609053,42.527490465092086,163.0727374938755,136.46644731001422,4.457303697412664,140.9237509062796,0.0001
49,49,7.464445771220624,4.312793202416594,11.777238970359985,7.816957300359553,4.451142556739576,12.268099813750297,120.03858001289498,42.04810977555632,162.08668966391653,131.53918064001834,4.451142556739576,135.9903231534091,0.0001
