epoch,train_mae_sbp,train_mae_dbp,train_mae,val_mae_sbp,val_mae_dbp,val_mae,train_mse_sbp,train_mse_dbp,train_mse,val_mse_sbp,val_mse_dbp,val_mse,lr,features
0,75.04212567114061,32.66372376103555,107.70584967828566,12.739914655685425,8.74628496170044,21.486199378967285,7830.201661140688,1544.654183910739,9374.855905840473,261.28681564331055,8.74628496170044,270.0331039428711,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
1,12.755631323783629,8.975455191827589,21.73108648484753,11.768718242645264,6.97083580493927,18.739554405212402,274.26413849861393,135.26093526040353,409.5250756048387,229.4644775390625,6.97083580493927,236.4353141784668,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
2,11.304550816935878,5.941429199710969,17.24598023199266,10.755329847335815,5.7698891162872314,16.525218963623047,227.5339572045111,65.79441427415416,293.32837012506303,212.20837783813477,5.7698891162872314,217.97826766967773,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
3,10.663151310336206,5.759563492190454,16.42271460256269,10.869425058364868,5.932606816291809,16.802031993865967,213.22154826502646,64.55006765550182,277.77161530525456,222.1681900024414,5.932606816291809,228.1007957458496,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
4,10.176834475609564,5.552339661505915,15.72917406020626,9.77660870552063,5.344597935676575,15.121206521987915,204.00799806656377,61.75987034459268,265.7678660731162,185.5522117614746,5.344597935676575,190.89681243896484,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
5,9.877663027855657,5.402419613253686,15.280082579581968,9.726463794708252,5.146120190620422,14.872583866119385,192.6584226546749,59.28504771571006,251.94347110871345,182.3785057067871,5.146120190620422,187.52462768554688,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
6,9.793951742110714,5.315453560121598,15.109405271468624,9.907744884490967,5.4682230949401855,15.375967979431152,191.68239027454007,58.7421499683011,250.42454036589592,184.1767921447754,5.4682230949401855,189.64501953125,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
7,9.707030142507245,5.3312865226499495,15.038316665157195,9.370720386505127,5.11662757396698,14.487347841262817,186.1823937200731,58.76702585527974,244.94941957535283,168.30743026733398,5.11662757396698,173.4240608215332,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
8,9.662369082050938,5.273455081447478,14.935824209643949,9.512185335159302,5.104902386665344,14.617087602615356,185.32286760883946,58.802207946777344,244.1250762939453,176.7816390991211,5.104902386665344,181.88654327392578,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
9,9.625374486369472,5.279692757514216,14.905067166974467,9.497901678085327,5.123335957527161,14.621237516403198,184.51791283392137,59.039897057317916,243.5578116140058,176.3585662841797,5.123335957527161,181.48190307617188,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
10,9.470590314557475,5.215372423971853,14.685962769293017,9.283195495605469,4.9717923402786255,14.254987716674805,179.54022315240675,58.47674449797599,238.01696629678048,168.2059669494629,4.9717923402786255,173.17776107788086,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
11,9.506078597038023,5.154225334044425,14.660303946464293,9.287015914916992,5.036249041557312,14.323265075683594,180.7086398216986,57.56151949974798,238.27015784478957,170.73507690429688,5.036249041557312,175.77132415771484,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
12,9.49242010424214,5.210312843322754,14.702732978328582,9.398162126541138,5.034161329269409,14.432323455810547,179.50545427876133,58.08406608335434,237.58952233099168,169.372802734375,5.034161329269409,174.40696334838867,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
13,9.520758505790464,5.217483720471782,14.738242180116716,9.269192934036255,4.9733850955963135,14.242578029632568,180.94879051946825,58.07847509076518,239.02726548717868,171.06298828125,4.9733850955963135,176.03636932373047,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
14,9.329561448866322,5.0554368880487255,14.384998321533203,9.224287033081055,5.090692162513733,14.314979076385498,175.786868187689,55.672374479232296,231.45924328219505,172.0109405517578,5.090692162513733,177.10163116455078,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD50']"
