epoch,train_mae_sbp,train_mae_dbp,train_mae,val_mae_sbp,val_mae_dbp,val_mae,train_mse_sbp,train_mse_dbp,train_mse,val_mse_sbp,val_mse_dbp,val_mse,lr,features
0,73.42014558853641,31.950173039590158,105.37031862812657,12.90940546989441,9.151012420654297,22.060417652130127,7586.508564610635,1470.1053860572076,9056.61391719695,287.45716857910156,9.151012420654297,296.6081771850586,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
1,11.591808503673922,8.871758784017254,20.46356718001827,11.403872966766357,5.5902992486953735,16.994171619415283,242.46913836079258,132.95526775237053,375.4244089434224,223.7108612060547,5.5902992486953735,229.30116271972656,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
2,10.106966357077322,5.630384322135679,15.737350740740377,9.558675765991211,5.53740131855011,15.096076965332031,195.11047510946952,60.308077658376384,255.4185525217364,176.29317474365234,5.53740131855011,181.83057403564453,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
3,9.472290069826188,5.370246671861218,14.84253680321478,9.085768461227417,5.223114252090454,14.308882713317871,178.04805484894783,56.95833304620558,235.00638752598917,159.95725631713867,5.223114252090454,165.18036651611328,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
4,8.969396929587088,5.12574129719888,14.095138242167812,8.554800987243652,4.966814756393433,13.521615743637085,162.50053356539817,53.03917349538496,215.53970730689264,143.04262161254883,4.966814756393433,148.00943756103516,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
5,8.528272721075243,4.963412023359729,13.49168482134419,8.502169847488403,4.943809509277344,13.445979356765747,149.41338668331022,50.23430424351846,199.64769228043096,145.38395309448242,4.943809509277344,150.32776260375977,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
6,8.370916843414307,4.908710264390515,13.27962706165929,8.098036527633667,4.697327613830566,12.795364379882812,146.6529344128024,49.02102464245212,195.67395905525453,136.0120391845703,4.697327613830566,140.70936584472656,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
7,8.239119668160715,4.712497818854548,12.951617456251576,7.971253037452698,4.520372748374939,12.491625785827637,143.73297389861077,46.54978795205393,190.2827616045552,130.94833374023438,4.520372748374939,135.46870613098145,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
8,8.18282078158471,4.585520790469262,12.768341618199502,8.162700176239014,4.4676549434661865,12.6303551197052,142.02341633458292,44.2506471449329,186.27406114147556,138.79052352905273,4.4676549434661865,143.2581787109375,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
9,8.161869449000205,4.4687618901652675,12.630631354547315,8.378385782241821,4.443984389305115,12.822370290756226,140.9745111773091,43.20605148807649,184.18056118872857,143.9305648803711,4.443984389305115,148.3745460510254,0.1,"['CP', 'DT', 'SUT', 'SUT_DT_ADD', 'SW_DW_ADD10', 'SW_DW_ADD25', 'SW_DW_ADD33', 'SW_DW_ADD50', 'SW_DW_ADD66', 'SW_DW_ADD75', 'DW10', 'SW_DW_DIV_50']"
