Model name :mlp_4_features
Launch training on cuda
Saving best model
{'train_mae_sbp': 11.423745186098161, 'train_mae_dbp': 5.917743452133671, 'val_mae_sbp': 11.846276760101318, 'val_mae_dbp': 5.8716607093811035}
{'train_mae_sbp': 11.405903539349955, 'train_mae_dbp': 5.814161362186555, 'val_mae_sbp': 11.31850528717041, 'val_mae_dbp': 5.827625870704651}
{'train_mae_sbp': 11.359575025496945, 'train_mae_dbp': 5.8687577555256505, 'val_mae_sbp': 11.477229833602905, 'val_mae_dbp': 5.815290808677673}
{'train_mae_sbp': 11.21558032497283, 'train_mae_dbp': 5.765767958856398, 'val_mae_sbp': 11.106354713439941, 'val_mae_dbp': 5.820635914802551}
{'train_mae_sbp': 11.320314591930758, 'train_mae_dbp': 5.900481393260341, 'val_mae_sbp': 11.3281569480896, 'val_mae_dbp': 5.807609438896179}
{'train_mae_sbp': 11.246691334632136, 'train_mae_dbp': 5.748503023578275, 'val_mae_sbp': 11.30338168144226, 'val_mae_dbp': 5.870465040206909}
{'train_mae_sbp': 11.294429409888483, 'train_mae_dbp': 5.75491371462422, 'val_mae_sbp': 11.180135250091553, 'val_mae_dbp': 5.807150721549988}
{'train_mae_sbp': 11.235549711411998, 'train_mae_dbp': 5.75750667818131, 'val_mae_sbp': 11.378852128982544, 'val_mae_dbp': 5.799070954322815}
{'train_mae_sbp': 11.296423081428774, 'train_mae_dbp': 5.756785162033573, 'val_mae_sbp': 11.495799541473389, 'val_mae_dbp': 5.861173987388611}
{'train_mae_sbp': 11.363889048176427, 'train_mae_dbp': 5.776410979609335, 'val_mae_sbp': 11.598469018936157, 'val_mae_dbp': 5.882474184036255}
{'train_mae_sbp': 11.26980972290039, 'train_mae_dbp': 5.808416489631899, 'val_mae_sbp': 11.323383331298828, 'val_mae_dbp': 5.8893386125564575}
{'train_mae_sbp': 11.2683165150304, 'train_mae_dbp': 5.8314693666273545, 'val_mae_sbp': 11.21896481513977, 'val_mae_dbp': 5.740931987762451}
{'train_mae_sbp': 11.314403595462922, 'train_mae_dbp': 5.790282864724436, 'val_mae_sbp': 11.225766897201538, 'val_mae_dbp': 5.933787107467651}
{'train_mae_sbp': 11.253460299584173, 'train_mae_dbp': 5.749516225630237, 'val_mae_sbp': 11.460329532623291, 'val_mae_dbp': 5.91597306728363}
{'train_mae_sbp': 11.218254396992345, 'train_mae_dbp': 5.7198697982295865, 'val_mae_sbp': 11.484934091567993, 'val_mae_dbp': 6.056249141693115}
Saving best model
{'train_mae_sbp': 11.060699770527501, 'train_mae_dbp': 5.620735537621282, 'val_mae_sbp': 10.9613037109375, 'val_mae_dbp': 5.629623889923096}
Saving best model
{'train_mae_sbp': 10.949692972244755, 'train_mae_dbp': 5.570257140744117, 'val_mae_sbp': 10.92549991607666, 'val_mae_dbp': 5.587856292724609}
{'train_mae_sbp': 10.91695474809216, 'train_mae_dbp': 5.576198147189233, 'val_mae_sbp': 11.07269811630249, 'val_mae_dbp': 5.637013077735901}
{'train_mae_sbp': 10.926932734827842, 'train_mae_dbp': 5.563333157570131, 'val_mae_sbp': 10.971704006195068, 'val_mae_dbp': 5.601270914077759}
{'train_mae_sbp': 10.894855591558642, 'train_mae_dbp': 5.569538424091954, 'val_mae_sbp': 11.048445701599121, 'val_mae_dbp': 5.646886706352234}
{'train_mae_sbp': 10.901766100237447, 'train_mae_dbp': 5.575709096847042, 'val_mae_sbp': 10.997756242752075, 'val_mae_dbp': 5.624155759811401}
{'train_mae_sbp': 10.884855977950558, 'train_mae_dbp': 5.556898286265712, 'val_mae_sbp': 10.937040328979492, 'val_mae_dbp': 5.607224345207214}
{'train_mae_sbp': 10.845484733581543, 'train_mae_dbp': 5.535588479811145, 'val_mae_sbp': 10.935704469680786, 'val_mae_dbp': 5.622216820716858}
