Model name :mlp_4_features
Launch training on cuda
Saving best model
{'train_mae_sbp': 76.3925109986336, 'train_mae_dbp': 33.01490371457992, 'val_mae_sbp': 15.832172632217407, 'val_mae_dbp': 10.083142042160034}
Saving best model
{'train_mae_sbp': 14.044767964270807, 'train_mae_dbp': 9.76262027986588, 'val_mae_sbp': 13.219922304153442, 'val_mae_dbp': 6.774215340614319}
Saving best model
{'train_mae_sbp': 12.730441831773327, 'train_mae_dbp': 6.734548414907148, 'val_mae_sbp': 12.305394649505615, 'val_mae_dbp': 6.694052696228027}
Saving best model
{'train_mae_sbp': 12.524072893204227, 'train_mae_dbp': 6.6394801293649985, 'val_mae_sbp': 12.399686574935913, 'val_mae_dbp': 6.675888180732727}
{'train_mae_sbp': 12.395158213953819, 'train_mae_dbp': 6.596574137287755, 'val_mae_sbp': 12.282985210418701, 'val_mae_dbp': 6.507687211036682}
{'train_mae_sbp': 12.365493743650374, 'train_mae_dbp': 6.4953994904795005, 'val_mae_sbp': 11.984920024871826, 'val_mae_dbp': 6.401519775390625}
{'train_mae_sbp': 12.163800116508238, 'train_mae_dbp': 6.38489766274729, 'val_mae_sbp': 12.364341259002686, 'val_mae_dbp': 6.51355767250061}
{'train_mae_sbp': 12.054458679691438, 'train_mae_dbp': 6.308811249271516, 'val_mae_sbp': 12.14569354057312, 'val_mae_dbp': 6.44425642490387}
{'train_mae_sbp': 11.986187658002299, 'train_mae_dbp': 6.29564102234379, 'val_mae_sbp': 12.02784013748169, 'val_mae_dbp': 6.350431203842163}
Saving best model
{'train_mae_sbp': 11.898144845039614, 'train_mae_dbp': 6.218466435709307, 'val_mae_sbp': 11.927714109420776, 'val_mae_dbp': 6.264513611793518}
Saving best model
{'train_mae_sbp': 12.024036438234392, 'train_mae_dbp': 6.252837073418402, 'val_mae_sbp': 11.712971210479736, 'val_mae_dbp': 6.186047673225403}
{'train_mae_sbp': 11.923854920171923, 'train_mae_dbp': 6.206941389268445, 'val_mae_sbp': 11.746893167495728, 'val_mae_dbp': 6.392037868499756}
{'train_mae_sbp': 11.925568026881065, 'train_mae_dbp': 6.173518703829858, 'val_mae_sbp': 11.84673547744751, 'val_mae_dbp': 6.272511839866638}
{'train_mae_sbp': 11.952143792183168, 'train_mae_dbp': 6.200603423580047, 'val_mae_sbp': 11.875758171081543, 'val_mae_dbp': 6.170235753059387}
{'train_mae_sbp': 11.759645185162944, 'train_mae_dbp': 6.082500996128205, 'val_mae_sbp': 12.156239986419678, 'val_mae_dbp': 6.298250198364258}
Saving best model
{'train_mae_sbp': 11.857623223335512, 'train_mae_dbp': 6.123252591779155, 'val_mae_sbp': 11.624269008636475, 'val_mae_dbp': 6.232311010360718}
Saving best model
{'train_mae_sbp': 11.834284905464418, 'train_mae_dbp': 6.181813147760207, 'val_mae_sbp': 11.545263767242432, 'val_mae_dbp': 6.138777375221252}
{'train_mae_sbp': 11.692820456720167, 'train_mae_dbp': 6.070872629842451, 'val_mae_sbp': 11.622386455535889, 'val_mae_dbp': 6.038578033447266}
{'train_mae_sbp': 11.661639090507261, 'train_mae_dbp': 6.035164494668284, 'val_mae_sbp': 11.820170164108276, 'val_mae_dbp': 6.086427688598633}
{'train_mae_sbp': 11.768356876988564, 'train_mae_dbp': 6.122614399079354, 'val_mae_sbp': 11.718605041503906, 'val_mae_dbp': 6.103286981582642}
{'train_mae_sbp': 11.76510626269925, 'train_mae_dbp': 6.0641600085843, 'val_mae_sbp': 11.981990814208984, 'val_mae_dbp': 6.078406572341919}
{'train_mae_sbp': 11.766559662357453, 'train_mae_dbp': 6.084432171237085, 'val_mae_sbp': 11.983651638031006, 'val_mae_dbp': 6.1910988092422485}
{'train_mae_sbp': 11.666811204725697, 'train_mae_dbp': 6.003676137616558, 'val_mae_sbp': 11.489997148513794, 'val_mae_dbp': 6.04412567615509}
{'train_mae_sbp': 11.508449123751733, 'train_mae_dbp': 5.901131445361722, 'val_mae_sbp': 11.396304368972778, 'val_mae_dbp': 5.850082278251648}
