Epoch,epoch,train_mae_sbp,train_mae_dbp,train_mae,val_mae_sbp,val_mae_dbp,val_mae,train_mse_sbp,train_mse_dbp,train_mse,val_mse_sbp,val_mse_dbp,val_mse,lr,features
0,0,74.74000112472042,33.00971954099594,107.74971992738786,12.32205319404602,7.363994002342224,19.686047077178955,7776.170029178743,1536.1378459315147,9312.307831794986,240.6676254272461,7.363994002342224,248.03162002563477,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
1,1,11.054502887110557,8.845560596835229,19.90006354547316,10.053415298461914,5.823032259941101,15.876447677612305,220.29639557869203,132.53559937015658,352.8319982713269,180.44605255126953,5.823032259941101,186.26908493041992,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
2,2,9.426999707375803,5.660297270744078,15.087297039647256,8.876746654510498,5.495730400085449,14.372477054595947,173.33721382387222,61.9172614312941,235.25447623960434,148.32745361328125,5.495730400085449,153.82318115234375,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
3,3,8.934965225958056,5.409694810067454,14.34465995911629,8.6109299659729,5.270834565162659,13.88176441192627,157.0995628603043,58.25748468214466,215.35704680412047,140.55036163330078,5.270834565162659,145.82119750976562,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
4,4,8.452486068971696,5.254188691416094,13.706674698860414,8.092876434326172,5.09371542930603,13.186591863632202,143.8715529903289,55.35419390278478,199.22574787755167,131.5488395690918,5.09371542930603,136.6425552368164,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
5,5,8.206950756811327,5.15841999361592,13.365370719663558,8.03029489517212,5.054793000221252,13.085088014602661,137.35997772216797,53.641800911195816,191.00177887947328,129.2895622253418,5.054793000221252,134.34435653686523,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
6,6,8.023787098546181,4.93372191152265,12.957509071596208,8.076102614402771,4.670989036560059,12.74709153175354,132.9936262561429,50.64738538188319,183.64101139191658,129.13379859924316,4.670989036560059,133.8047866821289,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
7,7,8.0619137671686,4.739053664668914,12.800967401073825,7.91826331615448,4.683294177055359,12.601557493209839,133.07171901579827,47.31744114045174,180.389161140688,127.11149406433105,4.683294177055359,131.7947883605957,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
8,8,7.881519563736454,4.575224799494589,12.4567443478492,8.128350496292114,4.471017360687256,12.599367618560791,128.044802019673,44.39515181510679,172.43995469616306,128.50897979736328,4.471017360687256,132.97999954223633,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
9,9,8.022806644439697,4.563403837142452,12.586210435436618,8.057156324386597,4.410694718360901,12.467851161956787,132.59632405927104,43.1921259972357,175.78845165621848,129.39288902282715,4.410694718360901,133.80358123779297,0.1,"['CP', 'DT', 'SUT', 'DW10', 'SW_DW_ADD10', 'SW_DW_DIV_10', 'DW25', 'SW_DW_ADD25', 'SW_DW_DIV_25', 'DW33', 'SW_DW_ADD33', 'SW_DW_DIV_33', 'DW50', 'SW_DW_ADD50', 'SW_DW_DIV_50', 'DW66', 'SW_DW_ADD66', 'SW_DW_DIV_66', 'DW75', 'SW_DW_ADD75', 'SW_DW_DIV_75']"
